point[#],X[0.0-1.0],Sample ,P[kbar],T[°C],phase,mode[wt%],density[kg/m3],SiO2,TiO2,Al2O3,Cr2O3,FeO,MnO,MgO,CaO,Na2O,K2O,NiO,P2O5,CO2,H2O,,,,,,,,,
20,1,aob11,70,1480,ol,100,3300,41.01,0.03,0.08,0.10,10.14,0.15,46.92,0.15,0.05,0.00,0.37,0.01,0,0,,,,,,,,,
20,1,aob11,70,1480,opx,100,3300,56.74,0.14,1.26,0.51,5.86,0.15,31.53,1.91,0.39,0.00,0.15,0.00,0,0,,,,,,,,,
20,1,aob11,70,1480,cpx,100,3300,56.64,0.21,2.09,0.86,5.13,0.18,22.60,10.57,1.32,0.02,0.10,0.01,0,0,,,,,,,,,
20,1,aob11,70,1480,g,100,3600,42.54,1.05,18.59,3.96,7.35,0.29,20.81,4.67,0.08,0.01,0.03,0.03,0,0,,,,,,,,,
20,1,aob11,70,1480,liq,100,2800,42.54,1.05,18.59,3.96,7.35,0.29,20.81,4.67,3.61,2.16,0.03,0.03,11.54,4.06,,,,,,,,,
21,1,aob12,70,1420,ol,100,3300,40.24,0.04,0.05,0.05,10.79,0.15,46.93,0.12,0.05,0.01,0.39,0.02,0,0,,,,,,,,,
21,1,aob12,70,1420,opx,100,3300,57.30,0.17,1.09,0.21,6.36,0.15,31.93,1.71,0.40,0.02,0.14,0.01,0,0,,,,,,,,,
21,1,aob12,70,1420,cpx,100,3300,55.87,0.32,2.26,0.47,5.31,0.19,21.54,11.95,1.53,0.04,0.10,0.01,0,0,,,,,,,,,
21,1,aob12,70,1420,g,100,3600,42.95,1.11,20.88,1.50,8.29,0.31,20.77,4.82,0.11,0.02,0.03,0.09,0,0,,,,,,,,,
21,1,aob12,70,1420,liq,100,2800,21.86,3.83,1.28,0.01,11.26,0.27,20.10,12.59,3.60,2.48,0.08,0.48,15.42,2.71,,,,,,,,,
22,1,j16-1,70,1580,ol,100,3300,41.61,0.01,0.06,0.10,6.26,0.09,50.73,0.11,0.04,0.00,0.39,0.01,0,0,,,,,,,,,
22,1,j16-1,70,1580,opx,100,3300,58.93,0.04,1.00,0.27,3.73,0.10,34.14,1.73,0.29,0.00,0.14,0.00,0,0,,,,,,,,,
22,1,j16-1,70,1580,cpx,100,3300,58.25,0.14,1.64,0.28,4.57,0.15,24.69,10.06,1.18,0.04,0.12,0.01,0,0,,,,,,,,,
22,1,j16-1,70,1580,g,100,3600,44.68,0.42,19.69,2.70,4.76,0.18,24.34,3.78,0.07,0.00,0.03,0.03,0,0,,,,,,,,,
22,1,j16-1,70,1580,liq,100,2800,27.70,1.18,1.74,0.15,8.35,0.21,25.32,12.72,3.19,1.17,0.12,0.23,15.73,3.97,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,-,,,,,,,,,,,,,,,,,,,,,,,
